Hypothesis,Hipotez
Fascinating,Büyüleyici
Gravity,Yerçekimi
Paradigm,Model / Değerler Dizisi
Vulnerability,Zafiyet
Encryption,Şifreleme
Penetration,Sızma
Authentication,Kimlik Doğrulama
Absolutely, Kesinlikle
Advantage, Avantaj
Apologize, Özür dilemek
Arrange, Düzenlemek / Ayarlamak
Available, Müsait / Mevcut
Brief, Kısa / Öz
Celebrate, Kutlamak
Challenge, Zorluk / Meydan okumak
Compare, Karşılaştırmak
Complain, Şikayet etmek
Confident, Kendinden emin
Curious, Meraklı
Decision, Karar
Development, Gelişim
Disappoint, Hayal kırıklığına uğratmak
Encourage, Cesaretlendirmek
Environment, Çevre
Familiar, Tanıdık
Generate, Üretmek / Oluşturmak
Govern, Yönetmek
Improve, Geliştirmek
Independent, Bağımsız
Knowledge, Bilgi
Lack, Eksiklik
Measure, Ölçmek
Observe, Gözlemlemek
Opportunity, Fırsat
Participate, Katılmak
Predict, Tahmin etmek
Recognize, Tanımak / Farkına varmak
Recommend, Tavsiye etmek
Require, Gerektirmek
Satisfy, Tatmin etmek
Succeed, Başarmak
Traditional, Geleneksel
Unnecessary, Gereksiz
Various, Çeşitli
Volunteer, Gönüllü
Wealthy, Zengin
Wonder, Merak etmek
Ability, Yetenek
Abroad, Yurtdışı
Accept, Kabul etmek
Access, Erişim
Achieve, Elde etmek / Başarmak
Actually, Aslında
Admire, Hayran olmak
Admit, İtiraf etmek / Kabul etmek
Advanced, Gelişmiş / İleri düzey
Affect, Etkilemek
Agreement, Anlaşma
Aim, Amaç / Hedeflemek
Allow, İzin vermek
Amount, Miktar
Announce, Duyurmak
Anxious, Endişeli
Appreciate, Takdir etmek
Approach, Yaklaşım
Architecture, Mimari
Article, Makale
Attempt, Girişim / Çabalamak
Attention, Dikkat
Audience, İzleyici / Dinleyici
Average, Ortalama
Avoid, Kaçınmak
Background, Arka plan / Geçmiş
Benefit, Fayda / Yarar
Blame, Suçlamak
Borrow, Ödünç almak
Boundary, Sınır
Calculation, Hesaplama
Campaign, Kampanya
Candidate, Aday
Capable, Yetenekli
Careless, Dikkatsiz
Century, Yüzyıl
Certain, Kesin / Belirli
Character, Karakter
Collection, Koleksiyon
Combine, Birleştirmek
Commercial, Ticari
Common, Yaygın / Ortak
Communicate, İletişim kurmak
Community, Topluluk
Condition, Durum / Şart
Confirm, Onaylamak
Connect, Bağlanmak
Consider, Dikkate almak
Consumer, Tüketici
Contain, İçermek
Contribute, Katkıda bulunmak
Convince, İkna etmek
Create, Yaratmak / Oluşturmak
Crucial, Çok önemli / Kritik
Culture, Kültür
Damage, Hasar / Zarar vermek
Decade, On yıl
Decrease, Azalmak
Defend, Savunmak
Delay, Gecikme / Ertelemek
Delete, Silmek
Demand, Talep etmek
Describe, Tanımlamak
Design, Tasarım / Tasarlamak
Destroy, Yok etmek
Detail, Detay
Determine, Belirlemek
Difference, Fark
Difficult, Zor
Direct, Doğrudan / Yönetmek
Discover, Keşfetmek
Discuss, Tartışmak
Disease, Hastalık
Distance, Mesafe
Document, Belge
Doubt, Şüphe
Earn, Kazanmak
Economy, Ekonomi
Educate, Eğitmek
Effect, Etki
Effort, Çaba
Election, Seçim
Emotion, Duygu
Emphasize, Vurgulamak
Employ, İşe almak
Empty, Boş
Energy, Enerji
Engine, Motor
Enjoyable, Eğlenceli
Enter, Girmek
Entire, Bütün / Tüm
Equal, Eşit
Equipment, Ekipman
Especially, Özellikle
Essential, Temel / Gerekli
Establish, Kurmak
Event, Etkinlik / Olay
Evidence, Kanıt
Exact, Kesin / Tam
Excellent, Mükemmel
Exchange, Takas yapmak
Exist, Var olmak
